accession	problematic_key	problematic_value	consider_replacements
SAMEA7723392	env_broad_scale	Small lake biome	
SAMEA7723393	env_broad_scale	Small lake biome	
SAMEA7723394	env_broad_scale	Small lake biome	
SAMEA7723395	env_broad_scale	Small lake biome	
SAMEA7723396	env_broad_scale	Small lake biome	
SAMEA7723397	env_broad_scale	Small lake biome	
SAMEA7723398	env_broad_scale	Small lake biome	
SAMEA7723399	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723400	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723401	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723402	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723403	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723404	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723405	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723406	env_local_scale	host-associated habitat	
SAMEA7723407	env_local_scale	host-associated habitat	
SAMEA7723408	env_local_scale	host-associated habitat	
SAMEA7723409	env_local_scale	host-associated habitat	
SAMEA7723410	env_local_scale	animal-associated habitat	
SAMEA7723411	env_local_scale	animal-associated habitat	
SAMEA7723412	env_local_scale	animal-associated habitat	
SAMEA7723413	env_local_scale	animal-associated habitat	
SAMEA7723414	env_local_scale	animal-associated habitat	
SAMEA7723415	env_local_scale	animal-associated habitat	
SAMEA7723416	env_local_scale	animal-associated habitat	
SAMEA7723419	env_local_scale	mangrove	
SAMEA7723437	env_local_scale	intermittent pond	
SAMEA7723438	env_local_scale	intermittent pond	
SAMEA7723439	env_local_scale	intermittent pond	
SAMEA7723452	env_local_scale	animal-associated habitat	
SAMEA7723453	env_local_scale	animal-associated habitat	
SAMEA7723454	env_local_scale	animal-associated habitat	
SAMEA7723455	env_local_scale	host-associated habitat	
SAMEA7723456	env_local_scale	host-associated habitat	
SAMEA7723457	env_local_scale	host-associated habitat	
SAMEA7723458	env_local_scale	host-associated habitat	
SAMEA7723459	env_local_scale	host-associated habitat	
SAMEA7723460	env_local_scale	insecta-associated habitat	
SAMEA7723461	env_local_scale	insecta-associated habitat	
SAMEA7723462	env_local_scale	insecta-associated habitat	
SAMEA7723463	env_local_scale	insecta-associated habitat	
SAMEA7723464	env_local_scale	insecta-associated habitat	
SAMEA7723465	env_local_scale	insecta-associated habitat	
SAMEA7723466	env_local_scale	insecta-associated habitat	
SAMEA7723467	env_local_scale	insecta-associated habitat	
SAMEA7723468	env_local_scale	insecta-associated habitat	
SAMEA7723469	env_local_scale	insecta-associated habitat	
SAMEA7723470	env_local_scale	insecta-associated habitat	
SAMEA7723471	env_local_scale	insecta-associated habitat	
SAMEA7723472	env_local_scale	insecta-associated habitat	
SAMEA7723473	env_local_scale	insecta-associated habitat	
SAMEA7723474	env_local_scale	insecta-associated habitat	
SAMEA7723475	env_local_scale	insecta-associated habitat	
SAMEA7723476	env_local_scale	insecta-associated habitat	
SAMEA7723479	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723480	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723481	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723482	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723483	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723484	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723485	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723486	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723487	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723488	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723489	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723490	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723491	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723492	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723493	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723494	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723495	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723498	env_local_scale	animal-associated habitat	
SAMEA7723499	env_local_scale	animal-associated habitat	
SAMEA7723500	env_local_scale	animal-associated habitat	
SAMEA7723501	env_local_scale	animal-associated habitat	
SAMEA7723502	env_local_scale	animal-associated habitat	
SAMEA7723503	env_local_scale	animal-associated habitat	
SAMEA7723504	env_local_scale	animal-associated habitat	
SAMEA7723505	env_local_scale	animal-associated habitat	
SAMEA7723506	env_local_scale	animal-associated habitat	
SAMEA7723507	env_local_scale	animal-associated habitat	
SAMEA7723508	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723509	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723510	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723511	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723512	env_local_scale	animal-associated habitat	
SAMEA7723513	env_local_scale	animal-associated habitat	
SAMEA7723514	env_local_scale	animal-associated habitat	
SAMEA7723515	env_local_scale	animal-associated habitat	
SAMEA7723516	env_local_scale	animal-associated habitat	
SAMEA7723517	env_local_scale	animal-associated habitat	
SAMEA7723518	env_local_scale	animal-associated habitat	
SAMEA7723519	env_local_scale	animal-associated habitat	
SAMEA7723520	env_local_scale	animal-associated habitat	
SAMEA7723521	env_local_scale	animal-associated habitat	
SAMEA7723522	env_local_scale	animal-associated habitat	
SAMEA7723523	env_local_scale	animal-associated habitat	
SAMEA7723524	env_local_scale	animal-associated habitat	
SAMEA7723525	env_local_scale	animal-associated habitat	
SAMEA7723526	env_local_scale	animal-associated habitat	
SAMEA7723527	env_local_scale	animal-associated habitat	
SAMEA7723528	env_local_scale	animal-associated habitat	
SAMEA7723529	env_local_scale	animal-associated habitat	
SAMEA7723530	env_local_scale	animal-associated habitat	
SAMEA7723531	env_local_scale	animal-associated habitat	
SAMEA7723532	env_local_scale	animal-associated habitat	
SAMEA7723533	env_local_scale	animal-associated habitat	
SAMEA7723534	env_local_scale	animal-associated habitat	
SAMEA7723535	env_local_scale	animal-associated habitat	
SAMEA7723536	env_local_scale	animal-associated habitat	
SAMEA7723537	env_local_scale	animal-associated habitat	
SAMEA7723538	env_local_scale	animal-associated habitat	
SAMEA7723539	env_medium	coastal water	
SAMEA7723540	env_medium	coastal water	
SAMEA7723541	env_medium	coastal water	
SAMEA7723542	env_medium	coastal water	
SAMEA7723551	env_local_scale	bog	
SAMEA7723552	env_local_scale	bog	
SAMEA7723599	env_broad_scale	Small lake biome	
SAMEA7723600	env_broad_scale	Small lake biome	
SAMEA7723601	env_broad_scale	Small lake biome	
SAMEA7723602	env_broad_scale	Small lake biome	
SAMEA7723603	env_broad_scale	Small lake biome	
SAMEA7723604	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723605	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723606	env_local_scale	host-associated habitat	
SAMEA7723607	env_local_scale	host-associated habitat	
SAMEA7723608	env_local_scale	host-associated habitat	
SAMEA7723609	env_local_scale	animal-associated habitat	
SAMEA7723611	env_local_scale	intermittent pond	
SAMEA7723612	env_local_scale	intermittent pond	
SAMEA7723617	env_local_scale	host-associated habitat	
SAMEA7723618	env_local_scale	host-associated habitat	
SAMEA7723619	env_local_scale	host-associated habitat	
SAMEA7723620	env_local_scale	host-associated habitat	
SAMEA7723621	env_local_scale	host-associated habitat	
SAMEA7723622	env_local_scale	host-associated habitat	
SAMEA7723623	env_local_scale	host-associated habitat	
SAMEA7723624	env_local_scale	host-associated habitat	
SAMEA7723625	env_local_scale	host-associated habitat	
SAMEA7723626	env_local_scale	host-associated habitat	
SAMEA7723627	env_local_scale	host-associated habitat	
SAMEA7723628	env_local_scale	host-associated habitat	
SAMEA7723629	env_local_scale	host-associated habitat	
SAMEA7723630	env_local_scale	host-associated habitat	
SAMEA7723631	env_local_scale	host-associated habitat	
SAMEA7723632	env_local_scale	host-associated habitat	
SAMEA7723633	env_local_scale	host-associated habitat	
SAMEA7723634	env_local_scale	host-associated habitat	
SAMEA7723635	env_local_scale	host-associated habitat	
SAMEA7723636	env_local_scale	host-associated habitat	
SAMEA7723637	env_local_scale	host-associated habitat	
SAMEA7723638	env_local_scale	host-associated habitat	
SAMEA7723639	env_local_scale	host-associated habitat	
SAMEA7723640	env_local_scale	host-associated habitat	
SAMEA7723641	env_local_scale	host-associated habitat	
SAMEA7723642	env_local_scale	host-associated habitat	
SAMEA7723643	env_local_scale	host-associated habitat	
SAMEA7723644	env_local_scale	host-associated habitat	
SAMEA7723645	env_local_scale	host-associated habitat	
SAMEA7723646	env_local_scale	host-associated habitat	
SAMEA7723647	env_local_scale	host-associated habitat	
SAMEA7723648	env_local_scale	host-associated habitat	
SAMEA7723649	env_local_scale	host-associated habitat	
SAMEA7723650	env_local_scale	host-associated habitat	
SAMEA7723651	env_local_scale	host-associated habitat	
SAMEA7723652	env_local_scale	host-associated habitat	
SAMEA7723653	env_local_scale	host-associated habitat	
SAMEA7723654	env_local_scale	host-associated habitat	
SAMEA7723655	env_local_scale	host-associated habitat	
SAMEA7723656	env_local_scale	host-associated habitat	
SAMEA7723657	env_local_scale	host-associated habitat	
SAMEA7723658	env_local_scale	host-associated habitat	
SAMEA7723659	env_local_scale	host-associated habitat	
SAMEA7723660	env_local_scale	host-associated habitat	
SAMEA7723661	env_local_scale	host-associated habitat	
SAMEA7723662	env_local_scale	host-associated habitat	
SAMEA7723663	env_local_scale	host-associated habitat	
SAMEA7723664	env_local_scale	host-associated habitat	
SAMEA7723665	env_local_scale	host-associated habitat	
SAMEA7723666	env_local_scale	host-associated habitat	
SAMEA7723667	env_local_scale	host-associated habitat	
SAMEA7723668	env_local_scale	host-associated habitat	
SAMEA7723669	env_local_scale	host-associated habitat	
SAMEA7723670	env_local_scale	host-associated habitat	
SAMEA7723676	env_local_scale	insecta-associated habitat	
SAMEA7723677	env_local_scale	insecta-associated habitat	
SAMEA7723678	env_local_scale	insecta-associated habitat	
SAMEA7723679	env_local_scale	insecta-associated habitat	
SAMEA7723680	env_local_scale	insecta-associated habitat	
SAMEA7723681	env_local_scale	insecta-associated habitat	
SAMEA7723682	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723683	env_local_scale	animal-associated habitat	
SAMEA7723684	env_local_scale	animal-associated habitat	
SAMEA7723685	env_local_scale	animal-associated habitat	
SAMEA7723689	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723690	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723691	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723692	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723693	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723694	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723695	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723696	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723697	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723698	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723699	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723700	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723701	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723702	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723703	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723704	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723705	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723706	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723707	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723708	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723709	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723710	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723711	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723712	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723713	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723714	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723715	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723716	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723717	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723718	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723719	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723720	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723721	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723722	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723723	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723724	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723725	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723726	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723727	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723728	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723729	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723730	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723731	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723732	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
