study_id	doi_category	doi_provider	doi_value
nmdc:sty-11-076c9980	dataset_doi	jgi	doi:10.25585/1488160
nmdc:sty-11-076c9980	award_doi	jgi	doi:10.46936/10.25585/60000880
nmdc:sty-11-076c9980	award_doi	emsl	doi:10.46936/sthm.proj.2017.49804/60006181
nmdc:sty-11-076c9980	dataset_doi	massive	doi:10.25345/C58C9RF3K
nmdc:sty-11-1t150432	dataset_doi	jgi	doi:10.25585/1488096
nmdc:sty-11-1t150432	award_doi	jgi	doi:10.46936/10.25585/60000910
nmdc:sty-11-1t150432	publication_doi		doi:10.1128/mSystems.00045-18
nmdc:sty-11-28tm5d36	award_doi	emsl	doi:10.46936/intm.proj.2021.60141/60000423
nmdc:sty-11-28tm5d36	publication_doi		doi:10.1101/2022.12.12.520098
nmdc:sty-11-28tm5d36	dataset_doi	zenodo	doi:10.5281/zenodo.7406532
nmdc:sty-11-28tm5d36	award_doi	jgi	doi:10.46936/10.25585/60008461
nmdc:sty-11-33fbta56	dataset_doi	jgi	doi:10.25585/1488099
nmdc:sty-11-33fbta56	award_doi	jgi	doi:10.46936/10.25585/60001027
nmdc:sty-11-33fbta56	award_doi	emsl	doi:10.46936/sthm.proj.2016.49279/60005943
nmdc:sty-11-547rwq94	dataset_doi	massive	doi:10.25345/C5CG8S
nmdc:sty-11-547rwq94	dataset_doi	massive	doi:10.25345/C5F92D
nmdc:sty-11-547rwq94	publication_doi		doi:10.1038/s41564-022-01266-x
nmdc:sty-11-5bgrvr62	award_doi	jgi	doi:10.46936/10.25585/60001198
nmdc:sty-11-5bgrvr62	publication_doi		doi:10.1111/1462-2920.16314
nmdc:sty-11-5bgrvr62	publication_doi		doi:10.1111/mec.16891
nmdc:sty-11-5tgfr349	award_doi	jgi	doi:10.46936/10.25585/60001289
nmdc:sty-11-5tgfr349	award_doi	emsl	doi:10.46936/sarr.proj.2018.50298/60000034
nmdc:sty-11-5tgfr349	award_doi	emsl	doi:10.46936/cpcy.proj.2019.51180/60006718
nmdc:sty-11-5tgfr349	dataset_doi	ess_dive	doi:10.15485/1603775
nmdc:sty-11-5tgfr349	dataset_doi	ess_dive	doi:10.15485/1729719
nmdc:sty-11-5tgfr349	dataset_doi	kbase	doi:10.25982/109073.30/1895615
nmdc:sty-11-8fb6t785	dataset_doi	jgi	doi:10.25585/1487763
nmdc:sty-11-8fb6t785	award_doi	emsl	doi:10.46936/jejc.proj.2014.48483/60005501
nmdc:sty-11-8ws97026	publication_doi		doi:10.1021/acs.estlett.0c00748
nmdc:sty-11-8ws97026	publication_doi		doi:10.1128/msystems.00768-19
nmdc:sty-11-8xdqsn54	award_doi	emsl	doi:10.46936/lser.proj.2019.50718/60006575
nmdc:sty-11-8xdqsn54	dataset_doi	edi	doi:10.6073/pasta/4d5f03a4619e834c031ab4a6a121de12
nmdc:sty-11-aygzgv51	dataset_doi	jgi	doi:10.25585/1487765
nmdc:sty-11-aygzgv51	award_doi	emsl	doi:10.46936/jejc.proj.2014.48473/60005497
nmdc:sty-11-aygzgv51	publication_doi		doi:10.1371/journal.pone.0228165
nmdc:sty-11-db67n062	award_doi	emsl	doi:10.46936/sarr.proj.2018.50267/60000030
nmdc:sty-11-db67n062	publication_doi		doi:10.1016/j.geoderma.2021.115674
nmdc:sty-11-db67n062	publication_doi		doi:10.1029/2022JG006889
nmdc:sty-11-db67n062	publication_doi		doi:10.1002/ppp.2200
nmdc:sty-11-db67n062	dataset_doi	ess_dive	doi:10.15485/1838886
nmdc:sty-11-db67n062	dataset_doi	zenodo	doi:10.5281/zenodo.8071247
nmdc:sty-11-db67n062	dataset_doi	zenodo	doi:10.5281/zenodo.5816355
nmdc:sty-11-db67n062	dataset_doi	zenodo	doi:10.5281/zenodo.6533064
nmdc:sty-11-dcqce727	dataset_doi	jgi	doi:10.25585/1488224
nmdc:sty-11-dcqce727	award_doi	emsl	doi:10.46936/fics.proj.2017.49991/60006232
nmdc:sty-11-dcqce727	dataset_doi	ess_dive	doi:10.21952/WTR/1573029
nmdc:sty-11-dcqce727	dataset_doi	ess_dive	doi:10.15485/1577267
nmdc:sty-11-dwsv7q78	award_doi	osti	doi:10.46936/10.25585/60001346
nmdc:sty-11-dwsv7q78	dataset_doi	massive	doi:10.25345/C5S17T40C
nmdc:sty-11-e4yb9z58	award_doi	jgi	doi:10.46936/10.25585/60000818
nmdc:sty-11-e4yb9z58	publication_doi		doi:10.1038/s41467-023-36515-y
nmdc:sty-11-ev70y104	dataset_doi	massive	doi:10.25345/C5Q23RB6B
nmdc:sty-11-ev70y104	dataset_doi	figshare	doi:10.6084/m9.figshare.c.7373842
nmdc:sty-11-fkbnah04	dataset_doi	massive	doi:10.25345/C5QB9VG8C
nmdc:sty-11-fkbnah04	publication_doi		doi:10.1002/lno.11306
nmdc:sty-11-fkbnah04	award_doi	jgi	doi:10.46936/10.25585/60000947
nmdc:sty-11-prtb4s28	dataset_doi	massive	doi:10.25345/C5JS9HJ9J
nmdc:sty-11-prtb4s28	dataset_doi	massive	doi:10.25345/C58C9RF3K
nmdc:sty-11-prtb4s28	award_doi	jgi	doi:10.46936/10.25585/60000944
nmdc:sty-11-r2h77870	award_doi	jgi	doi:10.46936/10.25585/60000017
nmdc:sty-11-r2h77870	dataset_doi	massive	doi:10.25345/C58K7520G
nmdc:sty-11-r2h77870	publication_doi		doi:10.1038/s41597-024-03069-7
nmdc:sty-11-t91cwb40	award_doi	jgi	doi:10.46936/10.25585/60001061
nmdc:sty-11-t91cwb40	publication_doi		doi:10.1038/s41564-020-00861-0
nmdc:sty-11-zs2syx06	award_doi	jgi	doi:10.46936/10.25585/60000762
